"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"107",1097,"Harding University","AR",2,177,1145,43500,39900,8200,23200,55000,77300,11000,2043,NA,0.02,2007
"108",1098,"Henderson State University","AR",1,101,1073,38000,35300,10300,22500,49600,64800,5766.5,1788,NA,0.062,2007
"109",1099,"Hendrix College","AR",2,36,261,47100,41800,10700,26200,59600,80000,14375,365,NA,0.02,2007
"110",1100,"John Brown University","AR",2,62,486,52100,46700,12200,28300,67800,96800,12638,1025,NA,0.008,2007
"111",12860,"Arkansas Northeastern College","AR",1,108,480,28100,25300,5200,14300,38100,52500,3500,289,NA,0.108,2007
"112",12261,"North Arkansas College","AR",1,127,489,31600,29400,4100,13900,43500,58800,4375,691,NA,0.111,2007
"113",1102,"Ouachita Baptist University","AR",2,49,469,46200,39400,7600,25100,55800,78500,8562.5,512,NA,0.051,2007
"114",9976,"College of the Ouachitas","AR",1,28,198,25800,23500,4100,13700,35000,48800,2625,243,NA,0.154,2007
"115",20870,"Ozarka College","AR",1,54,228,29100,26700,4000,12400,39100,54600,3312,502,NA,0.165,2007
"116",1094,"University of the Ozarks","AR",2,24,159,35600,34000,6400,19700,45800,64100,8437.5,148,NA,0.058,2007
"117",5245,"University of Arkansas Community College-Morrilton","AR",1,45,205,26600,24700,3000,10600,37200,51700,3265,507,NA,0.111,2007
"118",1103,"Philander Smith College","AR",2,37,293,30300,27700,6000,15700,40700,52800,10875,487,NA,0.152,2007
"119",1104,"Phillips Community College of the University of Arkansas","AR",1,117,562,24700,20400,3700,11800,34900,49700,2625,238,NA,0.098,2007
"120",5707,"Southeast Arkansas College","AR",1,58,367,33000,29900,6600,16500,46000,61100,2625,567,NA,0.208,2007
"121",20753,"Pulaski Technical College","AR",1,134,731,30600,27300,6100,14200,41500,57200,4000,5402,NA,0.103,2007
"122",5732,"University of Arkansas Community College-Hope","AR",1,121,614,25900,21800,3700,12700,35300,51600,2625,188,NA,0.129,2007
"123",1106,"Williams Baptist College","AR",2,26,219,34800,33100,7800,21900,43700,59300,7593,344,NA,0.04,2007
"124",20746,"South Arkansas Community College","AR",1,49,263,30200,29700,5700,14300,41400,57100,3050,475,NA,0.105,2007
"125",1107,"Southern Arkansas University Main Campus","AR",1,112,784,37400,35100,10000,21700,46900,61300,5500,1490,NA,0.104,2007
"126",7738,"Southern Arkansas University Tech","AR",1,20,166,29600,26400,5500,13200,40000,55200,3500,252,NA,0.132,2007
"127",1110,"University of Arkansas-Fort Smith","AR",1,206,999,32700,30100,5500,16000,45000,60800,4406,2265,NA,0.096,2007
"128",7531,"Academy of Art University","CA",3,288,1375,49400,43200,6400,21700,65900,94500,6125,4161,NA,0.051,2007
"129",21209,"ITT Technical Institute-Rancho Cordova","CA",3,134,795,51800,50100,9600,30100,69500,89700,6167,1067,NA,0.065,2007
"130",23424,"The Academy of Radio and TV Broadcasting","CA",3,63,313,35000,30700,6000,17500,47100,65600,6625,137,NA,0.238,2007
"131",6720,"College of Alameda","CA",1,140,543,40400,34700,4700,15200,56600,84400,2625,43,NA,0.089,2007
"132",1111,"Allan Hancock College","CA",1,186,837,36300,31100,5300,15000,48700,70500,5001,127,NA,0.088,2007
"133",21069,"American Academy of Dramatic Arts-Los Angeles","CA",2,32,137,37700,32600,3500,14800,55300,71500,11125,99,NA,0.078,2007
"134",21136,"American Intercontinental University","CA",3,166,896,44100,37700,6600,18300,59700,90500,6625,35535,NA,0.085,2007
"135",22418,"American Career College-Los Angeles","CA",3,208,1130,36500,35400,8200,20200,48400,63900,6625,5006,NA,0.056,2007
"136",1232,"American River College","CA",1,478,1777,38100,33700,5000,14500,52600,76900,3750,1712,NA,0.122,2007
"137",11121,"Everest College-Hayward","CA",3,135,822,25200,22800,5500,12300,34100,47200,6625,764,NA,0.161,2007
"138",1113,"Antelope Valley College","CA",1,339,1135,35000,29400,3600,13000,49300,71500,3500,1385,NA,0.163,2007
